Hours,Tuition,Graduate Differential,Designated Tuition,Student Service Fee,Athletic Fee,Hospital Fee,Student Center Fee,Rec Sports Fee,University Services Fee,Total
1,470,27,112.36,16.94,20,57,80,150,249.36,1182.86
2,940,54,224.72,33.88,40,57,80,150,365.25,1944.85
3,"1,410.00",81,337.08,50.82,60,57,80,150,481.13,2707.03
4,"1,880.00",108,449.44,67.76,80,57,80,150,597.01,3469.21
5,"2,350.00",135,561.8,84.7,100,57,80,150,712.9,4231.4
6,"2,820.00",162,674.16,101.64,120,57,80,150,828.78,"4,993.58"
7,"3,290.00",189,786.52,118.58,140,57,80,150,944.67,"5,755.77"
8,"3,760.00",216,898.88,135.52,160,57,80,150,"1,060.55","6,517.95"
9,"4,230.00",243,"1,011.24",152.46,180,57,80,150,"1,176.43","7,280.13"
10,"4,700.00",270,"1,123.60",169.4,200,57,80,150,"1,292.32","8,042.32"
11,"5,170.00",297,"1,235.96",186.34,220,57,80,150,"1,408.20","8,804.50"
12,"5,640.00",324,"1,573.04",203.28,240,57,80,150,"1,547.52","9,814.84"
13,"6,110.00",351,"1,573.04",220.22,260,57,80,150,"1,651.69","10,452.95"
14,"6,580.00",378,"1,573.04",237.16,260,57,80,150,"1,753.61","11,068.81"
15,"7,050.00",405,"1,573.04",250,260,57,80,150,"1,855.07","11,680.11"
16,"7,520.00",432,"1,573.04",250,260,57,80,150,"1,955.10","12,277.14"
17,"7,990.00",459,"1,573.04",250,260,57,80,150,"2,055.11","12,874.15"
18,"8,460.00",486,"1,573.04",250,260,57,80,150,"2,155.13","13,471.17"
19,"8,930.00",513,"1,573.04",250,260,57,80,150,"2,255.16","14,068.20"
20,"9,400.00",540,"1,573.04",250,260,57,80,150,"2,355.17","14,665.21"
21,"9,870.00",567,"1,573.04",250,260,57,80,150,"2,439.91","15,246.95"
