Hours,Tuition,Designated Tuition,Student Service Fee,Athletic Fee,Hospital Fee,Student Center Fee,Rec Sports Fee,University Services Fee,Total
1,458,156.91,16.94,20,57,80,150,375.19,"1,314.04"
2,916,313.82,33.88,40,57,80,150,568.1,"2,158.80"
3,"1,374.00",470.73,50.82,60,57,80,150,761,"3,003.55"
4,"1,832.00",627.64,67.76,80,57,80,150,953.92,"3,848.32"
5,"2,290.00",784.55,84.7,100,57,80,150,"1,146.83","4,693.08"
6,"2,748.00",941.46,101.64,120,57,80,150,"1,339.74","5,537.84"
7,"3,206.00","1,098.37",118.58,140,57,80,150,"1,532.65","6,382.60"
8,"3,664.00","1,255.28",135.52,160,57,80,150,"1,725.56","7,227.36"
9,"4,122.00","1,412.19",152.46,180,57,80,150,"1,918.47","8,072.12"
10,"4,580.00","1,569.10",169.4,200,57,80,150,"2,111.38","8,916.88"
11,"5,038.00","1,726.01",186.34,220,57,80,150,"2,304.30","9,761.65"
12,"5,496.00","2,196.74",203.28,240,57,80,150,"2,610.21","11,033.23"
13,"5,954.00","2,196.74",220.22,260,57,80,150,"2,746.02","11,663.98"
14,"6,412.00","2,196.74",237.16,260,57,80,150,"2,878.10","12,271.00"
15,"6,870.00","2,196.74",250,260,57,80,150,"3,009.45","12,873.19"
16,"7,328.00","2,196.74",250,260,57,80,150,"3,138.49","13,460.23"
17,"7,786.00","2,196.74",250,260,57,80,150,"3,267.53","14,047.27"
18,"8,244.00","2,196.74",250,260,57,80,150,"3,396.58","14,634.32"
19,"8,702.00","2,196.74",250,260,57,80,150,"3,525.61","15,221.35"
20,"9,160.00",2,"2,196.74",260,57,80,150,"3,654.66","15,808.40"
21,"9,618.00","2,196.74",250,260,57,80,150,"3,768.44","16,380.18"
